knot,p,q,Ord,Ordv_pq,Result
K11a83,2,15,1,3,True
K11a83,2,17,1,3,True
K11a83,2,19,1,3,True
K11a83,2,21,1,3,True
K11a83,2,23,1,3,True
K11a84,2,11,1,2,False
K11a84,2,13,1,2,False
K11a84,2,15,1,2,False
K11a84,2,17,1,2,False
K11a84,2,19,1,2,False
K11a85,2,11,1,3,True
K11a85,2,13,1,3,True
K11a85,2,15,1,3,True
K11a85,2,17,1,3,True
K11a85,2,19,1,3,True
K11a86,2,15,1,3,True
K11a86,2,17,1,3,True
K11a86,2,19,1,3,True
K11a86,2,21,1,3,True
K11a86,2,23,1,3,True
K11a87,2,11,1,2,False
K11a87,2,13,1,2,False
K11a87,2,15,1,2,False
K11a87,2,17,1,2,False
K11a87,2,19,1,2,False
K11a88,2,15,1,2,False
K11a88,2,17,1,2,False
K11a88,2,19,1,2,False
K11a88,2,21,1,2,False
